VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01-06-2024 00:46,01-06-2024 00:58,2,2.04,1,N,234,231,2,13.5,1,0.5,0,0,1,18.5,2.5,0
2,01-06-2024 00:12,01-06-2024 00:18,1,0.63,1,N,166,24,2,7.9,1,0.5,0,0,1,10.4,0,0
1,01-06-2024 00:08,01-06-2024 00:56,1,16.7,2,N,132,170,1,70,4.25,0.5,12,13.88,1,101.63,2.5,1.75
2,01-06-2024 00:34,01-06-2024 00:44,3,4.89,1,N,138,192,2,19.8,6,0.5,0,0,1,29.05,0,1.75
2,01-06-2024 00:39,01-06-2024 01:05,1,4.62,1,N,144,17,1,28.2,1,0.5,6.64,0,1,39.84,2.5,0
2,01-06-2024 00:23,01-06-2024 00:30,1,1.09,1,N,186,230,1,8.6,1,0.5,2.45,0,1,16.05,2.5,0
2,01-06-2024 00:38,01-06-2024 00:45,4,1.17,1,N,48,246,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,01-06-2024 00:08,01-06-2024 00:24,1,1.73,1,N,234,79,1,14.9,1,0.5,2,0,1,21.9,2.5,0
1,01-06-2024 00:08,01-06-2024 00:14,2,1,1,N,164,68,1,7.9,3.5,0.5,1,0,1,13.9,2.5,0
1,01-06-2024 00:24,01-06-2024 00:42,2,4.4,1,N,158,238,1,21.9,3.5,0.5,6.7,0,1,33.6,2.5,0
1,01-06-2024 00:56,01-06-2024 01:29,1,9.6,1,N,237,49,1,44.3,3.5,0.5,8,0,1,57.3,2.5,0
2,01-06-2024 00:06,01-06-2024 00:12,1,1.06,1,N,141,229,2,7.9,1,0.5,0,0,1,12.9,2.5,0
2,01-06-2024 00:27,01-06-2024 01:10,2,4.31,1,N,113,37,2,38,1,0.5,0,0,1,43,2.5,0
2,01-06-2024 00:09,01-06-2024 00:18,1,1.89,1,N,142,141,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,01-06-2024 00:21,01-06-2024 00:24,1,0.87,1,N,141,141,1,6.5,1,0.5,1.11,0,1,12.61,2.5,0
2,01-06-2024 00:57,01-06-2024 01:04,1,2.31,1,N,142,151,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
1,01-06-2024 00:11,01-06-2024 00:20,1,2.1,1,N,79,170,1,12.1,3.5,0.5,1.5,0,1,18.6,2.5,0
1,01-06-2024 00:46,01-06-2024 00:50,1,0.8,1,N,161,164,1,6.5,3.5,0.5,2.85,0,1,14.35,2.5,0
1,01-06-2024 00:06,01-06-2024 00:16,1,1.6,1,N,249,186,1,10,3.5,0.5,3,0,1,18,2.5,0
1,01-06-2024 00:38,01-06-2024 00:44,1,1.1,1,N,186,68,2,7.9,3.5,0.5,0,0,1,12.9,2.5,0
2,01-06-2024 00:07,01-06-2024 00:20,1,1.37,1,N,90,48,1,12.8,1,0.5,4.45,0,1,22.25,2.5,0
2,01-06-2024 00:30,01-06-2024 00:40,1,1.98,1,N,48,239,1,12.1,1,0.5,3,0,1,20.1,2.5,0
2,01-06-2024 00:44,01-06-2024 00:52,1,0.76,1,N,238,238,2,9.3,1,0.5,0,0,1,14.3,2.5,0
1,01-06-2024 00:32,01-06-2024 00:52,1,7.6,1,N,132,265,1,33.8,2.75,0.5,5,0,1,43.05,0,1.75
2,01-06-2024 00:09,01-06-2024 00:16,1,1.09,1,N,158,246,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,01-06-2024 00:23,01-06-2024 00:27,1,0.42,1,N,158,249,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
2,01-06-2024 00:32,01-06-2024 00:48,1,2.41,1,N,158,144,1,17,1,0.5,2,0,1,24,2.5,0
2,01-06-2024 00:52,01-06-2024 00:59,1,0.99,1,N,45,231,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
1,01-06-2024 00:20,01-06-2024 00:25,2,0.6,1,N,230,162,1,5.8,3.5,0.5,2.15,0,1,12.95,2.5,0
1,01-06-2024 00:59,01-06-2024 01:07,1,1.6,1,N,79,264,1,10,3.5,0.5,3,0,1,18,2.5,0
1,01-06-2024 00:34,01-06-2024 00:57,0,3.5,1,N,239,234,1,22.6,3.5,0.5,5.5,0,1,33.1,2.5,0
2,31-05-2024 23:54,01-06-2024 00:05,2,2.05,1,N,142,229,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
2,01-06-2024 00:20,01-06-2024 00:30,2,2.62,1,N,229,43,1,14.2,1,0.5,2.5,0,1,21.7,2.5,0
2,01-06-2024 00:52,01-06-2024 01:01,2,1.31,1,N,163,229,1,10,1,0.5,2,0,1,17,2.5,0
2,01-06-2024 00:32,01-06-2024 00:50,1,6.13,1,N,229,261,1,27.5,1,0.5,10,0,1,42.5,2.5,0
2,01-06-2024 00:27,01-06-2024 00:54,2,2.4,1,N,68,148,1,23.3,1,0.5,4,0,1,32.3,2.5,0
2,01-06-2024 00:49,01-06-2024 01:07,1,2.98,1,N,48,79,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,01-06-2024 00:06,01-06-2024 00:26,2,4.03,1,N,236,113,1,22.6,1,0.5,1.5,0,1,29.1,2.5,0
2,01-06-2024 00:33,01-06-2024 00:41,1,1.59,1,N,249,231,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,01-06-2024 00:42,01-06-2024 00:50,1,1.26,1,N,79,232,2,9.3,1,0.5,0,0,1,14.3,2.5,0
2,01-06-2024 00:57,01-06-2024 00:58,1,0.22,1,N,79,4,2,3.7,1,0.5,0,0,1,8.7,2.5,0
2,01-06-2024 00:23,01-06-2024 00:30,3,1.55,1,N,48,90,2,10,1,0.5,0,0,1,15,2.5,0
2,01-06-2024 00:52,01-06-2024 00:58,3,1.08,1,N,90,249,1,7.9,1,0.5,3.87,0,1,16.77,2.5,0
2,01-06-2024 00:38,01-06-2024 00:53,1,1.95,1,N,79,186,1,15.6,1,0.5,0,0,1,20.6,2.5,0
2,01-06-2024 00:54,01-06-2024 00:58,1,0.81,1,N,186,90,1,5.8,1,0.5,1,0,1,11.8,2.5,0
2,01-06-2024 00:24,01-06-2024 00:38,1,4.89,1,N,161,168,1,21.2,1,0.5,0.05,0,1,26.25,2.5,0
2,01-06-2024 00:02,01-06-2024 00:10,1,1.57,1,N,231,249,1,10.7,1,0.5,3.92,0,1,19.62,2.5,0
2,01-06-2024 00:17,01-06-2024 00:29,1,1.44,1,N,249,170,1,12.1,1,0.5,4.28,0,1,21.38,2.5,0
1,01-06-2024 00:17,01-06-2024 00:46,2,11.1,1,N,138,230,3,47.8,10.25,0.5,0,6.94,1,66.49,2.5,1.75
1,01-06-2024 00:55,01-06-2024 01:08,1,1.9,1,N,162,100,2,12.8,3.5,0.5,0,0,1,17.8,2.5,0
2,01-06-2024 00:29,01-06-2024 00:36,1,1.03,1,N,79,144,1,8.6,1,0.5,2.04,0,1,15.64,2.5,0
2,01-06-2024 00:37,01-06-2024 01:11,1,6.88,1,N,144,238,1,36.6,1,0.5,8.32,0,1,49.92,2.5,0
1,01-06-2024 00:31,01-06-2024 01:10,1,16.2,2,N,132,107,1,70,4.25,0.5,10,6.94,1,92.69,2.5,1.75
2,01-06-2024 00:38,01-06-2024 00:56,2,3.82,1,N,143,249,1,20.5,1,0.5,4.5,0,1,30,2.5,0
1,01-06-2024 00:36,01-06-2024 00:48,1,2.3,1,N,90,79,1,12.8,3.5,0.5,3.55,0,1,21.35,2.5,0
1,01-06-2024 00:54,01-06-2024 01:05,1,3.9,1,N,79,263,1,17,3.5,0.5,1,0,1,23,2.5,0
2,01-06-2024 00:07,01-06-2024 00:21,1,1.76,1,N,90,114,1,13.5,1,0.5,0,0,1,18.5,2.5,0
2,01-06-2024 00:34,01-06-2024 00:37,1,0.52,1,N,107,137,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
2,01-06-2024 00:45,01-06-2024 00:50,1,0.75,1,N,141,229,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,01-06-2024 00:59,01-06-2024 01:09,1,1.53,1,N,141,48,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,01-06-2024 00:58,01-06-2024 01:14,1,4.29,1,N,234,262,1,21.2,1,0.5,5.24,0,1,31.44,2.5,0
2,01-06-2024 00:26,01-06-2024 01:08,1,6.42,1,N,113,36,2,38.7,1,0.5,0,0,1,43.7,2.5,0
1,01-06-2024 00:14,01-06-2024 00:33,2,3.5,1,N,230,79,1,20.5,3.5,0.5,5.1,0,1,30.6,2.5,0
2,01-06-2024 00:06,01-06-2024 00:12,1,1.05,1,N,229,170,2,8.6,1,0.5,0,0,1,13.6,2.5,0
2,01-06-2024 00:29,01-06-2024 00:43,1,2.1,1,N,79,246,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
2,01-06-2024 00:53,01-06-2024 01:03,1,0.99,1,N,249,90,1,10,1,0.5,3,0,1,18,2.5,0
1,01-06-2024 00:23,01-06-2024 00:25,2,0.3,1,N,234,107,1,4.4,3.5,0.5,0,0,1,9.4,2.5,0
1,01-06-2024 00:29,01-06-2024 00:44,1,4.3,1,N,107,238,1,20.5,3.5,0.5,5.1,0,1,30.6,2.5,0
1,01-06-2024 00:48,01-06-2024 00:57,1,1.7,1,N,238,263,1,11.4,3.5,0.5,3.25,0,1,19.65,2.5,0
1,01-06-2024 00:58,01-06-2024 01:12,1,3.7,1,N,263,79,1,17.7,3.5,0.5,4,0,1,26.7,2.5,0
1,01-06-2024 00:05,01-06-2024 00:45,1,4.3,1,N,237,179,1,34.5,3.5,0.5,3,0,1,42.5,2.5,0
1,01-06-2024 00:12,01-06-2024 00:32,1,3,1,N,249,229,1,17.7,3.5,0.5,4.54,0,1,27.24,2.5,0
2,01-06-2024 00:27,01-06-2024 00:34,1,1.13,1,N,234,233,1,8.6,1,0.5,2,0,1,15.6,2.5,0
2,01-06-2024 00:08,01-06-2024 00:29,1,3.34,1,N,211,48,1,20.5,1,0.5,5.1,0,1,30.6,2.5,0
